"Country Name","Country Code","Year","average_value_Adolescent fertility rate (births per 1,000 women ages 15-19)","average_value_Children in employment, female (% of female children ages 7-14)","average_value_Children in employment, male (% of male children ages 7-14)","average_value_Children in employment, study and work (% of children in employment, ages 7-14)","average_value_Children in employment, study and work, female (% of female children in employment, ages 7-14)","average_value_Children in employment, study and work, male (% of male children in employment, ages 7-14)","average_value_Children in employment, total (% of children ages 7-14)","average_value_Children in employment, work only (% of children in employment, ages 7-14)","average_value_Children in employment, work only, female (% of female children in employment, ages 7-14)","average_value_Children in employment, work only, male (% of male children in employment, ages 7-14)","average_value_Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)","average_value_Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)","average_value_Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)","average_value_Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","average_value_Life expectancy at birth, female (years)","average_value_Life expectancy at birth, male (years)","average_value_Literacy rate, youth (ages 15-24), gender parity index (GPI)","average_value_Prevalence of HIV, female (% ages 15-24)","average_value_Prevalence of HIV, male (% ages 15-24)","average_value_Proportion of seats held by women in national parliaments (%)","average_value_Refugee population by country or territory of asylum","average_value_Refugee population by country or territory of origin","average_value_School enrollment, primary (gross), gender parity index (GPI)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_School enrollment, secondary (gross), gender parity index (GPI)","average_value_School enrollment, tertiary (gross), gender parity index (GPI)","average_value_Unemployment, female (% of female labor force) (modeled ILO estimate)","average_value_Unemployment, male (% of male labor force) (modeled ILO estimate)","average_value_Vulnerable employment, female (% of female employment) (modeled ILO estimate)","average_value_Vulnerable employment, male (% of male employment) (modeled ILO estimate)"
"Djibouti","DJI","1972","53.446","","","","","","","","","","","","","","","","","","51.928","48.975","","","","","","","0.477479994297028","","","","","","",""
"Denmark","DNK","2002","6.618","","","","","","","","","","67.13","71.41","69.3","60.28","75.44","72.13","84.1","79.82","79.2","74.7","","0.1","0.1","37.9888268156425","73600","6","1.00270998477936","1.02656996250153","1.04904997348785","1.27880001068115","4.32","4.24","3.38999998569488","5.87999990582466"
"Algeria","DZA","2007","9.687","","","","","","","","","","9.19","50.3","30.1","13.45","14.47","70.73","75.13","45.13","75.215","72.702","","0.1","0.1","7.7120822622108","94137","10599","0.933889985084534","1.00127995014191","1.08138000965118","1.28249001502991","20.08","12.61","27.4299993515015","28.5499999523163"
"Algeria","DZA","2010","10.8084","","","","","","","","","","9.17","46.63","28.2","14.37","15.49","70","74.6","45.32","76.152","73.766","","0.1","0.1","7.7120822622108","94141","6665","0.937489986419678","0.993629992008209","1.03617000579834","1.30741000175476","19.09","8.11","24.9000005722046","29.990000963211"
"East Asia & Pacific (excluding high income)","EAP","1960","75.3281692293811","","","","","","","","","","","","","","","","","","47.4014193682061","44.0058797967344","","","","","","","","","","","","","",""
"Euro area","EMU","2019","6.33909185061587","","","","","","","","","","37.7712698375895","43.0966649305636","40.50827127206","51.0935994330483","68.5041625905476","63.303785794184","78.8795110919649","73.7026022775382","84.6122914038901","79.5950495842493","","0.1","0.118613511994007","33.3711949114039","2254353","2324","0.99693","0.996","0.9955","1.15268003940582","7.93359652055294","7.23151996999493","8.08399475016052","11.6392523966037"
"Eritrea","ERI","1982","116.446","","","","","","","","","","","","","","","","","","48.845","45.598","","","","","","1585","","","","","","","",""
"Eritrea","ERI","1995","102.7148","","","","","","","","","","72.91","84.45","78.66","70.75","73.08","90.89","91.94","82.4","54.135","50.568","","1.5","0.4","","1081","286711","0.810079991817474","0.785839974880219","0.721390008926392","0.155379995703697","7.51","6.35","91.5499992370606","89.3600006103516"
"European Union","EUU","1962","32.5175729323733","","","","","","","","","","","","","","","","","","72.1175384007189","66.6595937857721","","","","","","","","","","","","","",""
"Faroe Islands","FRO","1994","","","","","","","","","","","","","","","","","","","80.6","73.8","","","","","","","","","","","","","",""
"Gabon","GAB","2017","96.227","","","","","","","","","","15.62","21.27","18.46","42.98","44.67","61.13","62.92","54.1","67.883","63.879","","1.5","0.5","17.0940170940171","845","216","","","","","28.2","14.39","34.7799994945526","26.3900005221367"
"Gambia, The","GMB","1961","219.7918","","","","","","","","","","","","","","","","","","33.58","31.131","","","","","","","","","","","","","",""
"Grenada","GRD","1992","83.455","","","","","","","","","","","","","","","","","","72.693","67.739","","","","","","","","","1.2077499628067","","","","",""
"Heavily indebted poor countries (HIPC)","HPC","2018","99.9113187610744","","","","","","","","","","47.9138451514687","55.4156158408203","51.6885682992666","61.7506307570195","63.1913253937005","76.6188231748102","77.4852188200355","70.2813942957164","64.8891661614552","61.3788208051737","0.929759979248047","1.29833613194546","0.578210681111988","24.0502672251914","5582768","7375253","0.94062","0.91696","0.85384","0.706830024719238","4.7139069592301","4.25755614454712","84.5929265739298","70.9352652185101"
"IDA blend","IDB","1967","137.267085305012","","","","","","","","","","","","","","","","","","48.5152346391354","46.4081543410999","","","","","","","","","","","","","",""
"Iran, Islamic Rep.","IRN","1996","49.5732","","","","","","","","","","10.63","51.44","31.57","10.65","11.18","74.23","75.67","43.98","69.219","68.338","0.948069989681244","0.1","0.1","","2030359","104122","0.921249985694885","","","0.610880017280579","13.41","8.51","41.4099998474121","41.8100001811981"
"Jordan","JOR","1964","116.8166","","","","","","","","","","","","","","","","","","56.395","55.219","","","","","678985","","","","","","","","",""
"Kyrgyz Republic","KGZ","2020","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","16.5217391304348","334","2896","","","","","","","",""
"Kiribati","KIR","1983","52.2688","","","","","","","","","","","","","","","","","","59.002","54.806","","","","","","","1.00303995609283","0.990019977092743","0.972699999809265","","","","",""
"Kiribati","KIR","2008","26.0172","","","","","","","","","","","","","","","","","","68.838","61.613","","","","4.34782608695652","","36","1.04723000526428","1.07184994220734","1.10549998283386","","","","",""
"Lao PDR","LAO","1991","105.9486","","","","","","","","","","82.72","67.7","75.12","80.04","84.68","82.57","84.68","84.68","55.304","52.299","","0.1","0.1","","","122328","0.791429996490479","","","","2.3","2.59","95.8400001525879","88.4899997711182"
"Lebanon","LBN","1960","84.7684","","","","","","","","","","","","","","","","","","65.081","61.565","","","","","137884","","","","","","","","",""
"Lebanon","LBN","1965","80.4998","","","","","","","","","","","","","","","","","","66.521","62.995","","","","","163069","","","","","","","","",""
"Lebanon","LBN","2019","13.9476","","","","","","","","","","17.44","42.88","30.1","23.11","25.63","72.15","76.34","51.07","80.869","77.14","","0.1","0.1","4.6875","1392174","5647","","","","","9.77","4.84","13.8399995565414","35.7299993634224"
"St. Lucia","LCA","2000","60.667","","","","","","","","","","44.44","62.18","53.18","52.98","58.46","75.25","80.82","69.38","74.766","71.939","","","","11.1111111111111","","12","0.968400001525879","1.06421005725861","1.29838001728058","","21.27","12.93","25.030000448227","31.4200003743171"
"St. Lucia","LCA","2002","54.575","","","","","","","","","","45.14","61.5","53.19","54.61","60.06","75.25","80.67","70.11","75.153","72.201","","","","11.1111111111111","","12","0.968970000743866","1.06105005741119","1.28219997882843","","24.15","17.5","24.0999999046326","31.469999551773"
"Liechtenstein","LIE","2013","","","","","","","","","","","","","","","","","","","83.9","80.7","","","","20","96","","","","","","","","",""
"Low & middle income","LMY","2000","61.0760146028881","","","","","","","","","","42.1787302708921","62.6953421093547","52.6597881971448","51.038356575081","54.4605700145176","80.4915962608427","83.6799649066571","69.2335612406871","67.4560905106357","63.4632776504732","0.915639996528625","","","12.0497407424402","13406868","10469633","0.91461","0.90727","0.89763","0.910969972610474","5.63621595024243","5.57559720370745","63.4127943956688","61.1529605669783"
"Morocco","MAR","1968","142.995","","","","","","","","","","","","","","","","","","52.774","50.824","","","","","1480","","","","","","","","",""
"Myanmar","MMR","2008","32.4684","","","","","","","","","","61.73","74.63","68.12","54.81","58.61","83.43","86.9","72.16","66.044","59.313","","","","","","184410","0.993260025978088","","","","0.79","0.65","69.4599990844727","67.3300018310547"
"Malaysia","MYS","1998","14.4122","","","","","","","","","","37.84","51.31","44.65","44.87","47.09","78.43","80.52","64.1","74.378","70.326","","0.1","0.2","7.8125","50603","87","0.994289994239807","1.03433001041412","1.09209001064301","1.0616899728775","3.31","3.14","24.0299997329712","23.5299997329712"
"Nepal","NPL","2011","78.6348","","","","","","","","","","74.52","75.17","74.82","79.5","82.45","86.84","88.58","85.34","69.44","66.698","0.892340004444122","0.1","0.1","33.1649831649832","72651","6847","1.08158004283905","1.03849005699158","0.995389997959137","0.663869976997375","1.87","2.36","91.0099983215332","69.4000015258789"
"New Zealand","NZL","1985","32.2536","","","","","","","","","","","","","","","","","","76.8","71","","","","","4600","","0.981809973716736","1.00223994255066","1.02226996421814","0.880469977855682","","","",""
"Other small states","OSS","1975","101.341958960068","","","","","","","","","","","","","","","","","","59.6348919218052","54.3165101168187","","","","","","","0.98381","0.96552","0.90841","0.89301997423172","","","",""
"Paraguay","PRY","1987","92.861","","","","","","","","","","","","","","","","","","69.998","66.062","","","","","50","","0.961839973926544","0.967689990997314","0.991909980773926","","","","",""
"French Polynesia","PYF","1984","74.2416","","","","","","","","","","","","","","","","","","69.72","64.516","","","","","","","","","","","","","",""
"Romania","ROU","1974","67.7348","","","","","","","","","","","","","","","","","","71.82","67.29","","","","","","70","0.981270015239716","0.958509981632233","0.945339977741241","0.825500011444092","","","",""
"Rwanda","RWA","1968","74.4442","","","","","","","","","","","","","","","","","","46.012","42.978","","","","","","160100","","","","","","","",""
"Senegal","SEN","1990","131.0482","","","","","","","","","","28.84","63.76","46.33","32.92","34.07","75.09","77.34","55.43","58.817","55.627","","0.1","0.1","","58113","60006","0.729009985923767","0.678680002689362","0.509490013122559","","","","",""
"Singapore","SGP","1987","7.951","","","","","","","","","","","","","","","","","","76.7","72.5","","","","","320","","","","","","","","",""
"Singapore","SGP","1993","7.7994","","","","","","","","","","48.15","49.5","48.84","48.83","52.79","79.01","83.11","68.14","78.3","73.9","","0.1","0.1","","5","","","","","","3.4","2.87","4.93999993801117","9.3200002014637"
"Sao Tome and Principe","STP","1968","134.8852","","","","","","","","","","","","","","","","","","55.984","52.813","","","","","","","","","","","","","",""
"Sweden","SWE","1969","38.8786","","","","","","","","","","","","","","","","","","76.61","71.68","","","","","17000","","","","","","","","",""
"Turks and Caicos Islands","TCA","2003","","","","","","","","","","","","","","","","","","","","","","","","","","","0.992429971694946","0.991419970989227","0.989989995956421","","","","",""
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","2007","74.2402950202708","","","","","","","","","","42.684434308775","64.1817350035503","53.5045025813242","50.8616185087716","54.7942924477864","79.0112222211342","82.6760363182093","68.4839738491753","76.6444896877884","70.1547207811487","1.00525999069214","","","18.689181453921","529757","617320","0.97403","1.02587","1.09113","1.18689000606537","8.95192684611318","5.56985403747142","35.7616445190831","32.5906597272016"
"Middle East & North Africa (IDA & IBRD countries)","TMN","2018","43.4951515973846","","","","","","","","","","10.3564089840238","42.1246615839912","26.5495369614243","17.4275612919857","18.7485491904893","70.9059596661957","74.9575090233488","46.9681959844641","75.5151713987399","71.7554281171422","0.948230028152466","0.101207693071936","0.101039686011865","16.9374247894104","6863538","7246725","0.96592","0.9594","0.95046","1.03013002872467","19.8351612725275","9.2502337872338","33.4902079351544","30.8661089638267"
"Trinidad and Tobago","TTO","1982","85.214","","","","","","","","","","","","","","","","","","68.991","64.797","","","","","","","1.00515997409821","1.00958001613617","1.02091002464294","0.659950017929077","","","",""
"Turkey","TUR","1987","71.873","","","","","","","","","","","","","","","","","","66.441","59.308","","","","","2200","1085","0.903949975967407","0.77403998374939","0.551090002059937","0.500339984893799","","","",""
"Vanuatu","VUT","1978","88.32","","","","","","","","","","","","","","","","","","60.251","57.783","","","","","","","0.910860002040863","0.898620009422302","0.791930019855499","","","","",""
"Vanuatu","VUT","1983","82.4324","","","","","","","","","","","","","","","","","","63.039","60.577","","","","","","","","","0.666819989681244","","","","",""
"Vanuatu","VUT","1991","71.3908","","","","","","","","","","51.01","61.19","56.16","60.67","61.39","78.45","79.12","70.35","66.187","64.144","","","","","","","0.956520020961761","0.930610001087189","0.81207001209259","","4.91","4.2","84.2500011920929","70.2700023651124"
"Zambia","ZMB","1994","158.585","","","","","","","","","","65.73","70.84","68.29","73.78","73.94","85.76","85.92","79.86","46.808","43.264","","11.7","3.9","","141126","15","0.924610018730164","","","","18.56","17.92","88.0099983215332","67.9200019836426"
"IDA only","IDX","1970","151.178988555316","","","","","","","","","","","","","","","","","","46.020577410802","43.97282203142","","","","","","","0.63693","0.60616","0.5067","0.466879993677139","","","",""
"Mozambique","MOZ","1985","176.665","","","","","","","","","","","","","","","","","","45.213","42.333","","","","","710","72250","0.774420022964478","0.734650015830994","0.453689992427826","0.295190006494522","","","",""
"Malawi","MWI","1972","197.259","","","","","","","","","","","","","","","","","","41.082","40.39","","","","","","250","0.633149981498718","0.61913001537323","0.519050002098084","","","","",""
"Eswatini","SWZ","1996","116.3942","","","","","","","","","","29.09","37.04","32.88","43.3","44.64","62.58","63.89","53.46","58.85","52.401","","18.8","6.5","","575","16","0.969980001449585","","","0.933849990367889","24.46","20.13","28.7299996614456","13.6900003552437"
"Angola","AGO","1990","216.6","","","","","","","","","","59.12","55.59","57.36","75.9","76.73","80.02","80.25","78.51","47.07","43.642","","0.2","0.1","","11557","407760","0.913469970226288","","","0.194509997963905","","","",""
"Arab World","ARB","1997","57.2691505016007","","","","","","","","","","17.325388590529","51.8462455347343","34.9352380422661","19.5432209221696","20.7417506122749","74.8911903372085","77.2720952557959","49.7889039935461","68.8210700798159","65.0990780687966","0.838339984416962","0.105958604386745","0.102527266943322","3.74716124148373","4243118","1864272","0.84985","0.84603","0.83962","0.782500028610229","16.1747947785666","10.7601236827136","47.8290611660294","31.4537564143449"
"Arab World","ARB","2006","50.8396020226485","","","","","","","","","","15.7707425444921","47.7264791913735","32.1298455011901","20.3148530230591","21.5944429065293","73.3651502195432","76.2401084277304","49.9231518556861","71.3183856132824","67.7057805080162","0.903280019760132","0.101743277971729","0.100573305381084","9.34959349593497","6444699","3023523","0.90699","0.91731","0.93254","0.99769002199173","16.906528273701","8.59380723985195","43.3640887567128","28.595472106137"
"Antigua and Barbuda","ATG","1998","64.2476","","","","","","","","","","","","","","","","","","74.943","71.906","","","","5.26315789473684","","","","","","","","","",""
"Burundi","BDI","2019","53.9132","","","","","","","","","","57.96","48.93","53.45","80.5","81.69","77.88","78.25","80","63.377","59.764","","0.6","0.5","36.3636363636364","78465","380900","1.01482999324799","1.04294002056122","1.15231001377106","","0.98","1.9","89.7899971008301","78.8999996185303"
"Benin","BEN","1993","125.9774","","","","","","","","","","55.32","77.58","66.39","58.22","59.58","88.38","88.72","73.58","56.739","53.238","","1.1","0.4","","156239","62","0.522909998893738","","","0.193289995193481","0.62","2.07","96.2400016784668","86.7599983215332"
"Bulgaria","BGR","1972","71.282","","","","","","","","","","","","","","","","","","73.23","68.68","","","","","","340","0.990220010280609","0.992079973220825","0.993629992008209","1.14952003955841","","","",""
"Bulgaria","BGR","1988","73.9452","","","","","","","","","","","","","","","","","","74.99","68.38","","","","","","898","0.991900026798248","0.993680000305176","0.994740009307861","1.23617994785309","","","",""
"Bahamas, The","BHS","1975","88.6932","","","","","","","","","","","","","","","","","","69.676","63.934","","","","","","","","","","","","","",""
"Bolivia","BOL","1991","92.9762","","","","","","","","","","47.12","61.07","54.2","57.04","59.01","82.35","83.46","71.3","58.293","55.2","","0.1","0.1","","341","67","0.946399986743927","","","","3.5","2.22","78.9500007629394","60.4100017547607"
"Barbados","BRB","1966","103.6914","","","","","","","","","","","","","","","","","","69.807","64.814","","","","","","","","","","","","","",""
"Brunei Darussalam","BRN","1964","84.8824","","","","","","","","","","","","","","","","","","59.417","57.958","","","","","","","","","","","","","",""
"Brunei Darussalam","BRN","2004","23.151","","","","","","","","","","42.23","52.07","47.16","56.07","58.34","77.8","80.4","69.56","74.901","72.792","","","","","","","0.966409981250763","0.972670018672943","0.982400000095367","1.48453998565674","7.47","4.89","4.18999999761582","4.46000012755394"
"Central African Republic","CAF","1961","174.2058","","","","","","","","","","","","","","","","","","38.235","35.255","","","","","","","","","","","","","",""
"Central African Republic","CAF","2016","130.9522","","","","","","","","","","53.57","59.68","56.63","64.67","65.91","81","80.99","73.37","53.614","49.594","","1.5","0.9","7.19424460431655","12117","490879","0.780099987983704","0.760950028896332","0.649670004844666","","4.41","4.12","96.5699996948242","89.4000015258789"
"Central African Republic","CAF","2019","124.8532","","","","","","","","","","52.17","57.36","54.77","64.47","65.68","79.45","79.42","72.48","55.514","51.081","","1.3","0.8","8.57142857142857","7170","610152","","","","","4.21","3.89","96.4599990844727","88.7999992370605"
"Central Europe and the Baltics","CEB","1987","46.4299799815923","","","","","","","","","","","","","","","","","","74.488506202823","66.9278492433623","0.999279975891113","","","","","","0.98552","1.00803","1.02565","1.13960003852844","","","",""
"Switzerland","CHE","2017","2.763","","","","","","","","","","67.92","69.63","68.79","62.62","79.34","74.32","88.5","83.96","85.6","81.6","","0.1","0.1","32.5","93030","5","0.993239998817444","0.973230004310608","0.956870019435883","1.02496004104614","5.06","4.57","9.47000002861023","8.66999995708465"
"Cameroon","CMR","2003","146.3422","","","","","","","","","","66.11","70.8","68.47","78.28","79.21","85.72","86.22","82.69","53.174","50.65","","4.2","1.2","8.88888888888889","58583","6215","0.852970004081726","0.848169982433319","0.835979998111725","0.637179970741272","5.78","6.03","90.1799983978271","68.3199996948242"
"Congo, Dem. Rep.","COD","1989","130.5442","","","","","","","","","","","","","","","","","","50.206","47.338","","","","","340689","100786","","","","","","","",""
"Curacao","CUW","2004","38.648","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Algeria","DZA","1983","47.8858","","","","","","","","","","","","","","","","","","63.46","60.584","","","","","167000","5","0.767989993095398","","","","","","",""
"Early-demographic dividend","EAR","1980","108.68447127998","","","","","","","","","","","","","","","","","","57.3170558703075","54.9836750378301","0.751999974250793","","","","","","0.77203","0.72761","0.61948","0.549619972705841","","","",""
"Eritrea","ERI","1976","115.056","","","","","","","","","","","","","","","","","","47.137","43.738","","","","","","","","","","","","","",""
"Eritrea","ERI","2020","","","","","","","","","","","","","","","","","","","","","","0.2","0.1","","201","521949","","","","","","","",""
"Estonia","EST","1980","40.7506","","","","","","","","","","","","","","","","","","74.15","63.911","","","","","","","","","","","","","",""
"Ethiopia","ETH","2015","71.2274","","","","","","","","","","69.12","77.26","73.24","73.31","76.01","87.04","88.3","82.12","66.926","63.207","","0.6","0.4","38.7568555758684","736081","85839","0.908510029315948","0.921459972858429","0.961709976196289","","2.89","1.6","89.3699989318848","83.730001449585"
"Fiji","FJI","2013","46.593","","","","","","","","","","27.91","48.41","38.4","42.58","44.74","77.6","79.98","62.73","68.609","65.419","","0.1","0.1","","","1109","0.99975997209549","","","","5.15","4.06","51.1300010681152","42.3899993896484"
"United Kingdom","GBR","2011","19.8548","","","","","","","","","","55.48","60.57","58.06","55.58","69.46","68.33","81.28","75.35","83","79","","","","22.3076923076923","193494","150","0.998700022697449","1.00344002246857","1.00767004489899","1.24441003799438","7.34","8.64","7.89999982714653","14.9299995750189"
"Gambia, The","GMB","2015","83.2682","21.24","26.19","43.3684210526316","44.0470588235294","42.8407789232531","23.75","56.6315789473684","55.9529411764706","57.1592210767468","37.22","45.84","41.52","50.65","52","67.88","69.1","60.37","62.275","59.602","0.910989999771118","0.5","0.2","9.43396226415094","7851","8473","1.06764996051788","","","","12.52","6.8","82.6799993515015","63.7900009155274"
"Equatorial Guinea","GNQ","2020","","","","","","","","","","","","","","","","","","","","","","3.5","1.5","21","","170","","","","","","","",""
"Guatemala","GTM","2003","103.1252","16","26.2","66.2","","","21.1","33.8","","","34.89","77.68","56.14","41.5","43.6","85.52","87.23","64.43","72.263","65.875","","0.1","0.1","8.22784810126582","714","6696","","","","","3.42","2.48","57.9599990844726","41.3199996948242"
"Honduras","HND","2014","77.2212","5.753953","15.11724","58.24664","68.75794","54.35751","10.50187","41.75336","31.24206","45.64249","35.02","73.88","54.75","47.96","49.77","85.75","87.5","68.49","76.628","71.919","1.01293003559113","0.1","0.1","25.78125","28","4157","0.98523998260498","1.04717004299164","1.17480003833771","1.26836001873016","9.38","5.76","49.5799980163574","33.0599999427796"
"Hungary","HUN","2003","20.7232","","","","","","","","","","27","35.07","31.12","42.12","53.59","58.15","67.54","60.43","76.5","68.3","","","","9.84455958549223","7013","3394","0.984510004520416","0.995679974555969","1.00071001052856","1.2688399553299","5.38","6.12","6.22999995946884","9.80000004172325"
"IDA & IBRD total","IBT","1979","78.5162262783717","","","","","","","","","","","","","","","","","","61.6039282287924","58.1323013382461","0.809920012950897","","","","","","0.81973","0.80339","0.76884","0.804210007190704","","","",""
"India","IND","1998","73.515","","","","","","","","","","24.49","64.45","45.34","30.48","31.99","83.4","85.7","59.84","62.46","60.936","","","","8.10313075506446","185516","9663","0.851300001144409","","","","5.56","5.8","90.7400016784668","81.2699985504151"
"Iceland","ISL","1964","83.4038","","","","","","","","","","","","","","","","","","76.41","70.81","","","","","","","","","","","","","",""
"Iceland","ISL","2002","17.25","","","","","","","","","","69.81","70.69","70.26","71.97","83.53","82.1","90.14","86.88","82.5","78.6","","0.1","0.1","34.9206349206349","197","13","0.984099984169006","1.02295994758606","1.06122994422913","1.42835998535156","2.65","3.29","7.73999989032745","14.9400001764298"
"Iceland","ISL","2003","16.66","","","","","","","","","","72.83","71.91","72.36","71.8","83.4","81.81","89.89","86.69","82.5","79.5","","0.1","0.1","30.1587301587302","226","11","0.979200005531311","1.02354001998901","1.06596994400024","1.44176995754242","3.97","4.02","5.98000001907349","12.8500002622604"
"Israel","ISR","1965","41.1938","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Italy","ITA","1966","24.4058","","","","","","","","","","","","","","","","","","73.82","68.17","","","","","14000","","","","","","","","",""
"Japan","JPN","2001","5.3978","","","","","","","","","","46.1","46.11","46.1","49.21","59.96","75.97","85.13","72.68","84.9","78.1","","0.1","0.1","7.29166666666667","3198","5","","","","","4.7","5.2","16.1800003051758","11.2899996042252"
"Kazakhstan","KAZ","1988","47.7298","","","","","","","","","","","","","","","","","","73.1","64.8","","","","","","","","","","","","","",""
"Kenya","KEN","2011","88.3408","","","","","","","","","","40.4","46.43","43.4","67.42","67.78","75.77","75.98","71.83","63.923","59.74","","3.2","1.5","9.82142857142857","566482","8731","","","","","3.05","2.67","68.7400016784668","50.1000003814698"
"Korea, Rep.","KOR","1964","25.3598","","","","","","","","","","","","","","","","","","61.392","53.678","","","","","","","","","","","","","",""
"Latin America & Caribbean (excluding high income)","LAC","1963","105.567799422541","","","","","","","","","","","","","","","","","","59.0228570408864","54.9233793767222","","","","","","","","","","","","","",""
